Tesco Śliwki suszone 500 g,"9,99 zł"
Tesco Value Rodzynki 200 g,"2,19 zł"
Tesco Żurawina suszona 100 g,"2,99 zł"
Tesco Żurawina suszona 400 g,"9,99 zł"
BackMit Mak mielony 200 g,"5,69 zł"
BackMit Tarte migdały 200 g,"10,99 zł"
BackMit Tarte orzechy laskowe 200 g,"11,99 zł"
BackMit Tarte orzechy włoskie 200 g,"10,99 zł"
Bakalland Chrupiąca sałatka Prażony mix słonecznik dynia pinia 100 g,"5,49 zł"
Bakalland Mieszanka keksowa 400 g,"9,99 zł"
Bakalland Migdały 100 g,"7,19 zł"
Bakalland Migdały w płatkach 75 g,"5,99 zł"
Bakalland Orzechy laskowe 100 g,"6,59 zł"
Bakalland Orzechy włoskie 100 g,"7,79 zł"
Bakalland Rodzynki sułtańskie 100 g,"2,79 zł"
KRESTO Mak 200 g,"5,99 zł"
KRESTO Mango kandyzowane kostka 100 g,"4,69 zł"
KRESTO Mieszanka hawajska 150 g,"4,79 zł"
KRESTO Mieszanka studencka 500 g,"20,49 zł"
KRESTO Migdały 200 g,"12,49 zł"
KRESTO Migdały 500 g,"28,99 zł"
KRESTO Migdały blanszowane 100 g,"6,99 zł"
KRESTO Migdały płatki 150 g,"9,99 zł"
KRESTO Migdały słupki 100 g,"6,59 zł"
KRESTO Nerkowce 100 g,"6,99 zł"
KRESTO Nerkowce 500 g,"32,99 zł"
KRESTO Orzechy laskowe 200 g,"11,99 zł"
KRESTO Orzechy laskowe 500 g,"28,99 zł"
KRESTO Orzechy włoskie 200 g,"12,99 zł"
KRESTO Orzechy włoskie 500 g,"28,99 zł"
KRESTO Orzeszki pinii 100 g,"19,99 zł"
KRESTO Pestki dyni 200 g,"6,49 zł"
KRESTO Sezam 200 g,"4,29 zł"
KRESTO Siemię lniane 200 g,"1,99 zł"
KRESTO Siemię lniane 500 g,"4,49 zł"
KRESTO Słonecznik łuskany 200 g,"2,69 zł"
KRESTO Wiórki kokosowe 200 g,"3,89 zł"
NATÜRLICH GOLDPACK Czereśnie kandyzowane 100 g,"4,99 zł"
NATÜRLICH GOLDPACK Mieszanka skórek 100 g,"2,99 zł"
NATÜRLICH GOLDPACK Skórka pomarańczy 100 g,"2,99 zł"
Tesco Mak mielony 200 g,"4,99 zł"
Tesco Mak niebieski 250 g,"5,99 zł"
Tesco Mak niebieski 500 g,"10,99 zł"
Tesco Masa makowa z bakaliami 850 g,"6,49 zł"
Tesco Mieszanka orzechów 250 g,"11,99 zł"
Tesco Migdały 100 g,"4,49 zł"
Tesco Migdały 500 g,"19,99 zł"
Tesco Migdały w płatkach 100 g,"5,99 zł"
Tesco Nasiona słonecznika 200 g,"3,29 zł"
Tesco Orzechy laskowe 100 g,"4,99 zł"
Tesco Orzechy laskowe 500 g,"23,99 zł"
Tesco Orzechy nerkowca 500 g,"21,99 zł"
Tesco Orzechy włoskie 100 g,"5,99 zł"
Tesco Orzechy włoskie 400 g,"22,99 zł"
Tesco Orzechy włoskie mielone słodzone 200 g,"9,99 zł"
Tesco Prażone orzeszki ziemne - niesolone 500 g,"7,49 zł"
Tesco Skórka pomarańczowa kandyzowana 100 g,"1,99 zł"
Tesco Wiórki kokosowe 200 g,"2,99 zł"
Ananas Mix,"1,70 zł"
Chipsy bananowe,"1,70 zł"
Daktyle,"0,80 zł"
Dynia łuskana,"2,50 zł"
Figa suszona,"1,80 zł"
Kiwi plasterki,"2,50 zł"
Mieszanka orzechów,"4,30 zł"
Mieszanka owocowa na kompot,"2,10 zł"
Mieszanka studencka,"2,10 zł"
Mieszanka żurawinowo-orzechowa,"2,50 zł"
Migdały kalifornijskie,"4,50 zł"
Morele suszone,"1,79 zł"
Orzechy brazylijskie,"5,00 zł"
Orzechy laskowe,"5,50 zł"
Orzechy nerkowca,"3,99 zł"
Orzechy włoskie łuskane,"4,00 zł"
Orzechy ziemne w łupinie,"1,30 zł"
Orzeszki pistacjowe,"5,00 zł"
Popcorn,"0,80 zł"
Rodzynki sułtańskie,"1,30 zł"
Słonecznik łuskany,"0,70 zł"
Słonecznik w łupinie,"1,00 zł"
Śliwki kalifornijskie,"2,00 zł"
Żurawina suszona cała,"2,29 zł"
Delecta Krem karpatka 5 minut 145 g,"3,69 zł"
Delecta Krem karpatka oryginalna 250 g,"3,39 zł"
Delecta Krem tortowy smak ajerkoniakowy 2 x 110 g,"5,00 zł"
Delecta Krem tortowy smak krówka 110 g,"3,19 zł"
Delecta Krem tortowy smak śmietankowy 2 x 110 g,"5,00 zł"
Delecta Posypka Smak owocowy 30 g,"1,49 zł"
Dr. Oetker Krem budyniowy 3 minuty 136 g,"3,69 zł"
Dr. Oetker Krem budyniowy tradycyjny 240 g,"3,69 zł"
Dr. Oetker Krem dekoracyjny biały 120 g,"6,99 zł"
Dr. Oetker Krem do tortów i ciast smak ajerkoniakowy 120 g,"3,29 zł"
Dr. Oetker Krem do tortów i ciast smak czekoladowy 120 g,"3,29 zł"
Dr. Oetker Krem do tortów i ciast smak śmietankowy 120 g,"3,29 zł"
Dr. Oetker Krem do tortów i ciast smak waniliowy 120 g,"3,29 zł"
Dr. Oetker Krem do tortów i ciast z mascarpone smak tiramisu 122 g,"3,29 zł"
Dr. Oetker Krem jogurtowy 3 minuty 140 g,"3,29 zł"
Dr. Oetker Masa śmietanowa malinowa z kawałkami owoców 86 g,"2,99 zł"
Dr. Oetker Masa śmietanowa o smaku śmietankowym 86 g,"2,99 zł"
Gellwe Bita śmietana Śnieżka 60 g,"1,49 zł"
Gellwe Krem do tiramisu 150 g,"2,89 zł"
Gellwe Krem do tortów smak ajerkoniakowy 120 g,"2,89 zł"
Gellwe Krem do tortów smak czekoladowy 140 g,"2,89 zł"
Gellwe Krem do tortów smak waniliowy 120 g,"2,89 zł"
Gellwe Śnieżka light Bita śmietana 60 g,"1,49 zł"
Delecta Polewa smak ciemnej czekolady 80 g,"2,99 zł"
Delecta Polewa smak mlecznej czekolady 80 g,"2,99 zł"
Dr. Oetker Lukier czekoladowy 100 g,"2,99 zł"
Dr. Oetker Lukier domowy smak czekoladowy 70 g,"1,69 zł"
Dr. Oetker Lukier domowy tradycyjny 70 g,"1,69 zł"
Dr. Oetker Lukier klasyczny 100 g,"2,49 zł"
Dr. Oetker Lukier niebieski 100 g,"2,99 zł"
Dr. Oetker Lukier różowy 100 g,"2,99 zł"
Dr. Oetker Lukier zielony 100 g,"2,99 zł"
Dr. Oetker Lukier żółty 100 g,"2,99 zł"
Dr. Oetker Polewa biała 100 g,"3,39 zł"
Dr. Oetker Polewa mleczna 100 g,"3,39 zł"
Dr. Oetker Sos o smaku czekoladowym 200 g,"4,29 zł"
Dr. Oetker Sos toffi 200 g,"4,29 zł"
Dr. Oetker Sos truskawkowy 200 g,"4,29 zł"
E. Wedel Kakao ekstraciemne z Ghany 80 g,"3,49 zł"
E. Wedel Kakao klasyczne z Ghany 200 g,"6,99 zł"
Gellwe Polewa czarno biała 100 g,"2,19 zł"
Gellwe Polewa mleczna 100 g,"2,19 zł"
Bakalland Kajmak Masa krówkowa o smaku kakaowym 460 g,"5,59 zł"
Bakalland Kajmak Masa krówkowa o smaku orzechowym 460 g,"5,59 zł"
Bakalland Kajmak Masa krówkowa o smaku tiramisu 460 g,"5,59 zł"
Bakalland Kajmak Masa krówkowa o smaku tradycyjnym 460 g,"5,59 zł"
Bakalland Masa makowa 850 g,"7,49 zł"
Delecta Aromat do ciast cytrynowy 10 ml,"1,39 zł"
Delecta Aromat do ciast migdałowy 10 ml,"1,39 zł"
Delecta Aromat do ciast pomarańczowy 10 ml,"1,39 zł"
Delecta Aromat do ciast rumowy 10 ml,"1,39 zł"
Delecta Aromat do ciast śmietankowy 10 ml,"1,39 zł"
Delecta Aromat do ciast waniliowy 10 ml,"1,39 zł"
Delecta Cukier cynamonowy 15 g,"0,95 zł"
Delecta Cukier smak migdałowy 15 g,"0,95 zł"
Delecta Drożdże instant 8 g,"1,19 zł"
Delecta Mix do śmietany 13 g,"0,89 zł"
Delecta Posypka Smak kakaowy 30 g,"1,49 zł"
Delecta Puszyste desery Śnieżka oryginalna 3 x 51 g,"3,00 zł"
Delecta Udane wypieki Cukier waniliowy 4 x 15 g,"2,00 zł"
Delecta Udane wypieki Proszek do pieczenia 4 x 30 g,"2,00 zł"
Delecta Żelatyna do mięs ryb warzyw i deserów 50 g,"2,49 zł"
Dr. Oetker Aromat cytrynowy 9 ml,"1,19 zł"
Dr. Oetker Aromat migdałowy 9 ml,"1,19 zł"
Dr. Oetker Aromat waniliowy 9 ml,"1,19 zł"
Dr. Oetker Ażurki z czekolady deserowej 30 g (24 sztuki),"4,99 zł"
Dr. Oetker Backin Proszek do pieczenia 3 x 15 g,"1,29 zł"
Dr. Oetker Backin Proszek do pieczenia 30 g,"0,59 zł"
Dr. Oetker Biszkopt-Fix 87 g,"1,99 zł"
Dr. Oetker Bita śmietana 60 g,"1,69 zł"
Dr. Oetker Cukier błyszczący 65 g,"5,49 zł"
Dr. Oetker Cukier wanilinowy 16 g,"0,59 zł"
Dr. Oetker Cukier wanilinowy Porcja XXL 43 g,"1,19 zł"
Dr. Oetker Drożdże instant 7 g,"1,39 zł"
Dr. Oetker Gwiazdy z czekolady deserowej i białej 20 g (12 sztuk),"4,99 zł"
Dr. Oetker Kwas cytrynowy 20 g,"1,09 zł"
Dr. Oetker Literki i cyferki z czekolady deserowej 60 g (82 sztuki),"4,99 zł"
Dr. Oetker Margaretki opłatki kolorowe 15 sztuk,"4,99 zł"
Dr. Oetker Motylki cukrowe 35 g,"5,49 zł"
Dr. Oetker Motylki Dekoracje z czekolady mlecznej i białej 28 g (12 sztuk),"4,99 zł"
Dr. Oetker Perełki błyszczące 42 g,"5,49 zł"
Dr. Oetker Perełki cukrowe 80 g,"2,99 zł"
Dr. Oetker Perełki kolorowe 50 g,"5,49 zł"
Dr. Oetker Perełki srebrne 42 g,"5,49 zł"
Dr. Oetker Perełki złote 42 g,"5,49 zł"
Dr. Oetker Pisaki błyszczące żelowe 57 g (3 tubki),"6,39 zł"
Dr. Oetker Pisaki cukrowe 76 g (4 tubki),"6,39 zł"
Dr. Oetker Płatki cukrowe smak czekoladowy 80 g,"3,19 zł"
Dr. Oetker Posypka cukrowa 80 g,"2,99 zł"
Dr. Oetker Posypka cukrowa smak czekoladowy 80 g,"3,19 zł"
Dr. Oetker Premium Cukier wanilinowy 3 x 8 g,"1,29 zł"
Dr. Oetker Przyprawa korzenna do piernika i grzanego wina 40 g,"1,99 zł"
Dr. Oetker Różyczki opłatki białe 6 sztuk,"4,99 zł"
Dr. Oetker Różyczki opłatki brązowe 6 sztuk,"4,99 zł"
Dr. Oetker Różyczki opłatki kolorowe 6 sztuk,"4,99 zł"
Dr. Oetker Serduszka z czekolady deserowej i białej 45 g (72 sztuki),"4,99 zł"
Dr. Oetker Sernix Dodatek ulepszający do sernika 60 g,"1,59 zł"
Dr. Oetker Stokrotki opłatki kolorowe 8 sztuk,"4,99 zł"
Dr. Oetker Śmietan-fix 9 g,"0,99 zł"
Dr. Oetker Żelatyna wieprzowa 20 g,"2,09 zł"
Dr. Oetker Żelatyna z bulionem i przyprawami 40 g,"3,89 zł"
Dr. Oetker Żelatyna-fix deserowa 60 g,"3,89 zł"
Gellwe Cukier wanilinowy 16 g,"0,39 zł"
Gellwe Fix do ubijania śmietany 12 g,"0,79 zł"
Gellwe Krem do karpatki 145 g,"3,39 zł"
Gellwe Kwas cytrynowy 20 g,"0,69 zł"
Gellwe Proszek do pieczenia 30 g,"0,45 zł"
Gellwe Soda oczyszczona 80 g,"0,69 zł"
Gellwe Żelatyna do mięs ryb warzyw i deserów 50 g,"2,79 zł"
Tesco Cukier wanilinowy 10 g,"0,19 zł"
Tesco Cukier wanilinowy 6 sztuk po 10 g,"1,09 zł"
Tesco Drożdże instant 7 g,"0,99 zł"
Tesco Kwas cytrynowy 100 g,"2,29 zł"
Tesco Proszek do pieczenia 12 g,"0,19 zł"
Tesco Proszek do pieczenia 6 sztuk po 12 g,"0,99 zł"
Tesco Soda oczyszczona 100 g,"0,69 zł"
3Bit Baton w czekoladzie mlecznej z nadzieniem mlecznym i herbatnikiem 41 g,"1,49 zł"
3Bit Big Baton w czekoladzie mlecznej z nadzieniem mlecznym i herbatnikiem 51 g,"1,79 zł"
3Bit Big Baton w czekoladzie mlecznej z nadzieniem o smaku orzechowym i herbatnikiem 51 g,"1,79 zł"
Aero 2in1 Napowietrzona czekolada mleczna i biała 35 g,"1,75 zł"
Aero Napowietrzona czekolada mleczna 35 g,"1,75 zł"
Bakalland Ba! banan Baton zbożowy 40 g,"1,99 zł"
Bakalland Ba! Żurawina i pomarańcza Baton zbożowy 40 g,"1,99 zł"
Bounty Baton z nadzieniem kokosowym oblany czekoladą 57 g,"1,89 zł"
Bounty Minis Batoniki z nadzieniem kokosowym oblane czekoladą 170 g,"7,75 zł"
"Duplo Wafel z orzechowym nadzieniem pokryty mleczną czekoladą 18,2 g","1,29 zł"
Duplo Wafel z orzechowym nadzieniem pokryty mleczną czekoladą 91 g (5 batoników),"5,39 zł"
E. Wedel Bajeczny Baton orzechowy z dodatkiem wafelków w mlecznej czekoladzie 45 g,"1,79 zł"
E. Wedel Pawełek deserowy advocat 45 g,"1,79 zł"
E. Wedel Pawełek mleczny śmietanka 45 g,"1,79 zł"
E. Wedel Pawełek mleczny toffi 45 g,"1,79 zł"
E. Wedel WW Cztery wafelki przekładane nadzieniem orzechowym w mlecznej czekoladzie 47 g,"1,79 zł"
Figaro Pianka bananowa w gorzkiej czekoladzie 25 g,"0,99 zł"
Figaro Pianka o smaku pomarańczowym w czekoladzie 25 g,"1,09 zł"
Hibbi Mlekoladki Batoniki mleczne z nadzieniem o smaku jogurtowo-truskawkowym 100 g (8 sztuk),"2,49 zł"
Kinder Bueno Baton z orzechowym nadzieniem w kruchym waflu oblanym mleczną czekoladą 43 g (2 batony),"2,19 zł"
Kinder Bueno Baton z orzechowym nadzieniem w kruchym waflu w mlecznej czekoladzie 172 g (4 x 43 g),"6,57 zł"
Kinder bueno Wafel w mlecznej czekoladzie wypełniony mleczno-orzechowym nadzieniem 129 g (3 x 43 g),"5,99 zł"
Kinder Chocolate Batoniki z mlecznej czekolady z nadzieniem mlecznym 126 g (6 Batoników),"6,99 zł"
Kinder Chocolate Batoniki z mlecznej czekolady z nadzieniem mlecznym 50 g (4 batoniki),"2,39 zł"
Kinder Chocolate Maxi Batonik z mlecznej czekolady z nadzieniem mlecznym 21 g,"1,79 zł"
"Kinder Country Czekolada mleczna z nadzieniem mlecznym i zbożami 23,5 g","1,99 zł"
Kinder Country Czekolada mleczna z nadzieniem mlecznym i zbożami 94 g (4 batony),"5,79 zł"
Kinder délice kakao Kakaowy biszkopt z mlecznym nadzieniem 42 g,"2,69 zł"
Kinder délice kokos Kakaowy biszkopt z mlecznym i kokosowym nadzieniem 42 g,"2,69 zł"
Kinder Mikołaj Niespodzianka Słodkie jajko z niespodzianką pokryte czekoladą mleczną 80 g (4 x 20 g),"11,49 zł"
Kinder Niespodzianka Słodkie jajko z niespodzianką pokryte czekoladą mleczną 20 g,"3,29 zł"
Kinder Różowa Niespodzianka Słodkie jajko z niespodzianką pokryte czekoladą mleczną 20 g,"3,29 zł"
Kinder Schoko-Bons Smakołyk z mlecznym i orzechowym nadzieniem oblany mleczną czekoladą 125 g,"7,69 zł"
Kit Kat Chunky Double Caramel Paluszek waflowy w mlecznej czekoladzie z dwoma rodzajami karmelu 42 g,"1,99 zł"
Kit Kat Chunky Paluszek waflowy w mlecznej czekoladzie 40 g,"1,49 zł"
Kit Kat Chunky Peanut Butter Paluszek waflowy w mlecznej czekoladzie 42 g,"1,55 zł"
Kit Kat Chunky White Paluszek waflowy w białej czekoladzie 40 g,"1,49 zł"
Kit Kat Chunky Xtra Break Paluszek waflowy w mlecznej czekoladzie 48 g,"1,99 zł"
Kit Kat Paluszek waflowy w mlecznej czekoladzie 45 g,"1,59 zł"
Lion Nadziewany wafel z karmelem i płatkami pszennymi w polewie kakaowej 42 g,"1,19 zł"
Lion Nadziewany wafel z karmelem i płatkami pszennymi w polewie kakaowej 420 g (10 sztuk),"7,99 zł"
Lion Nadziewany wafel z karmelem i płatkami pszennymi w polewie kakaowej 60 g (2 sztuki),"1,45 zł"
Lion Peanut Nadziewany wafel z karmelem płatkami pszennymi i orzechami w polewie kakaowej 40 g,"1,19 zł"
Lion White Nadziewany wafel z karmelem i płatkami pszennymi w białej polewie 42 g,"1,19 zł"
Mars Baton z nugatowym nadzieniem oblany karmelem i czekoladą 188 g (4 sztuki),"4,49 zł"
Mars Baton z nugatowym nadzieniem oblany karmelem i czekoladą 47 g,"1,49 zł"
Mars Baton z nugatowym nadzieniem oblany karmelem i czekoladą 69 g (2 sztuki),"2,09 zł"
Mars Minis Batoniki z nugatowym nadzieniem oblane karmelem i czekoladą 170 g,"7,75 zł"
Milka Crispello à la Choco Cream Praliny nadziewane 30 g (3 sztuki),"1,99 zł"
Milka Crispello à la Vanilla Cream Praliny nadziewane 30 g (3 sztuki),"1,99 zł"
Milka Czekolada Alpine Milk 25 g,"1,29 zł"
Milka Czekolada Caramel 45 g,"1,99 zł"
Milka Czekolada Hazelnuts 25 g,"1,29 zł"
Milka Lu Czekolada mleczna z mleka alpejskiego z ciasteczkami 35 g,"1,79 zł"
Milka Tuc Czekolada mleczna z mleka alpejskiego z solonymi krakersami 35 g,"1,79 zł"
Milky Way Ameo Rurki z nadzieniem mlecznym w polewie z czekolady 25 g,"1,49 zł"
Milky Way Baton z białym nadzieniem oblany czekoladą 21.5 g,"0,89 zł"
Milky Way Baton z białym nadzieniem oblany czekoladą 43 g (2 sztuki),"1,69 zł"
Milky Way Minis Batoniki z białym nadzieniem oblane czekoladą 170 g,"7,75 zł"
Ryelands Chocolates Marcepano Baton arachipanowo-marcepanowy w czekoladzie 90 g,"2,99 zł"
Ryelands Chocolates Marcepano Baton ze skórką pomarańczową w czekoladzie mlecznej 90 g,"2,99 zł"
Snickers Baton z nugatowym nadzieniem i orzeszkami ziemnymi w karmelu i czekoladzie 200 g (4 sztuki),"4,49 zł"
Snickers Baton z nugatowym nadzieniem i orzeszkami ziemnymi w karmelu i czekoladzie 50 g,"1,49 zł"
Snickers Baton z nugatowym nadzieniem i orzeszkami ziemnymi w karmelu i czekoladzie 75 g (2 sztuki),"2,09 zł"
Snickers Minis Batoniki z nugatowym nadzieniem i orzeszkami ziemnymi w karmelu i czekoladzie 170 g,"7,75 zł"
Tesco Baton kokosowy oblany czekoladą mleczną 2 sztuki po 25 g,"0,99 zł"
Tesco Baton nugatowy oblany czekoladą mleczną 40 g,"0,89 zł"
Tesco Batony nugatowe z karmelem oblane czekoladą mleczną 414 g (20 sztuk),"8,19 zł"
Tesco Ciastka z karmelem oblane czekoladą mleczną 294 g (7 sztuk),"5,99 zł"
Tesco Ciastko z karmelem w mlecznej czekoladzie 42 g,"0,89 zł"
Tesco Cool Coconut Batony kokosowe oblane czekoladą mleczną 275 g (11 sztuk),"6,49 zł"
Tesco Crazy Caramel Baton nugatowy z karmelem oblany czekoladą mleczną 40 g,"0,89 zł"
Tesco Crazy Caramel Batony nugatowe z karmelem oblane czekoladą mleczną 280 g (13 sztuk),"6,49 zł"
Tesco Crazy Caramel Batony nugatowe z karmelem oblane czekoladą mleczną 320 g (8 sztuk),"6,49 zł"
Tesco Krówka mleczna Baton ręcznie zawijany 48 g,"1,29 zł"
Tesco Nutty Nougat Caramel Baton nugatowy z orzeszkami i karmelem w czekoladzie 40 g,"0,89 zł"
Tesco Nutty Nougat Caramel Batony nugatowe z orzeszkami i karmelem w czekoladzie 280 g (13 sztuk),"6,49 zł"
Tesco Nutty Nougat Caramel Batony nugatowe z orzeszkami i karmelem w czekoladzie 320 g (8 sztuk),"6,49 zł"
Tesco Wild and Whippy Batony nugatowe oblane czekoladą mleczną 280 g (15 sztuk),"6,49 zł"
Twix Baton z ciastkami i karmelem oblany czekoladą 50 g,"1,49 zł"
Twix Batoniki z ciastkami i karmelem oblane czekoladą 200 g (4 sztuki),"4,49 zł"
Twix Minis Ciasteczka oblane karmelem i mleczną czekoladą 170 g,"7,75 zł"
Twix Xtra Baton z ciastkami i karmelem oblany czekoladą 75 g (2 sztuki),"2,09 zł"
Wawel Adaś mleczny XXL Baton czekoladowy nadziewany 48 g,"1,49 zł"
Wawel Danusia ajerkoniak Czekoladka nadziewana 38 g,"1,39 zł"
Wawel Danusia Klasyczna deserowa czekoladka nadziewana 38 g,"1,19 zł"
Wawel Ikar czekoladowy XXL Baton czekoladowy nadziewany 48 g,"1,39 zł"
Wawel Jacek pomarańczowy XXL Baton czekoladowy nadziewany 48 g,"1,49 zł"
Wawel Krówkowy mleczny Baton nadziewany z czekolady mlecznej 48 g,"1,39 zł"
Wawel Maciek adwokat XXL Baton nadziewany z czekolady mlecznej 47 g,"1,39 zł"
Wawel Maciek toffi XXL Baton nadziewany z czekolady mlecznej 49 g,"1,39 zł"
Wawel Maciek truskawkowy XXL Baton z czekolady mlecznej z nadzieniem truskawkowym 47 g,"1,49 zł"
Wawel Marcepan 35 g,"2,49 zł"
Wawel Mocno orzechowy Baton z czekolady mlecznej z masłem orzechowym 46 g,"1,59 zł"
Wawel Studencki wiśniowy XXL Baton czekoladowy nadziewany 48 g,"1,49 zł"
Góralki czekoladowe Wafelek przekładany kremem kakaowo-czekoladowym 50 g,"1,29 zł"
Góralki mleczne Wafelek przekładany kremem mlecznym 50 g,"1,29 zł"
Góralki nugatowe Wafelek kakaowy przekładany kremem o smaku nugatowym 50 g,"1,29 zł"
Góralki orzechowe Wafelek przekładany kremem z orzechów laskowych 50 g,"1,29 zł"
Grześki Mega Wafel przekładany kremem kakaowym 34 g,"1,19 zł"
Grześki Mega Wafel przekładany kremem kakaowym w czekoladzie 48 g,"1,39 zł"
Grześki Mega Wafel przekładany kremem o smaku toffi w czekoladzie mlecznej 48 g,"1,39 zł"
Grześki Orzechowe Wafel przekładany kremem orzechowym w czekoladzie mlecznej 36 g,"1,19 zł"
Grześki Toffi Wafel przekładany kremem o smaku toffi w czekoladzie mlecznej 36 g,"1,19 zł"
Grześki Wafel przekładany kremem kakaowym w czekoladzie 36 g,"1,19 zł"
Knoppers Wafelek mleczno-orzechowy 25 g,"1,39 zł"
Knoppers Wafelek mleczno-orzechowy 25 g (3 sztuki),"3,99 zł"
Kopernik Wafel Teatralny 46 g,"1,89 zł"
Koukou Roukou Minis Wafelki kakaowe 120 g,"3,99 zł"
Koukou Roukou Wafelek kakaowy 25 g,"0,99 zł"
Maxer XXL Wafel przekładany kremem kakaowym oblany deserową czekoladą 50 g,"1,65 zł"
Milka Cake & Choc Ciastko biszkoptowe z kawałkami czekolady mlecznej i nadzieniem czekoladowym 35 g,"1,99 zł"
Milka ChocoWafer Wafel z nadzieniem kakaowym oblany czekoladą mleczną z alpejskiego mleka 30 g,"1,49 zł"
Nesquik Delikatny wafel w mlecznej czekoladzie przekładany kremem mlecznym 20 g,"0,99 zł"
"Olza Prince Polo Classic Kruche wafelki z kremem kakaowym oblane czekoladą 28 x 17,5 g","26,19 zł"
"Olza Prince Polo Classic Kruchy wafelek z kremem kakaowym oblany czekoladą 17,5 g","0,85 zł"
Olza Prince Polo Classic Kruchy wafelek z kremem kakaowym oblany czekoladą 35 g,"1,19 zł"
Olza Prince Polo Classic mini Kruchy wafelki z kremem kakaowym oblany czekoladą 128 g,"6,65 zł"
Olza Prince Polo Classic XXL Kruchy wafelek z kremem kakaowym oblany czekoladą 312 g (6 x 52 g),"8,29 zł"
Olza Prince Polo Orzechowe Kruchy wafelek z kremem orzechowym oblany czekoladą mleczną 36 g,"1,19 zł"
Olza Prince Polo XXL Classic Kruchy wafelek z kremem kakaowym oblany czekoladą 50 g,"1,39 zł"
Olza Prince Polo XXL Mleczne Kruchy wafelek z kremem kakaowym oblany czekoladą mleczną 50 g,"1,39 zł"
Olza Prince Polo XXL Orzechowe Kruchy wafelek z kremem orzechowym oblany mleczną czekoladą 50 g,"1,39 zł"
Princessa kokosowa Wafelek przekładany kremem kokosowym oblany białą czekoladą 36 g,"1,09 zł"
Princessa longa kokosowa Wafelek przekładany kremem kokosowym oblany białą czekoladą 48 g,"1,29 zł"
Princessa longa mleczna Wafelek przekładany kremem kakaowym oblany mleczną czekoladą 49 g,"1,29 zł"
Princessa longa orzechowa Wafelek przekładany kremem orzechowym oblany mleczną czekoladą 49 g,"1,29 zł"
Princessa mleczna Wafelek przekładany kremem kakaowym oblany mleczną czekoladą 37 g,"1,09 zł"
Princessa orzechowa Wafelek przekładany kremem orzechowym oblany mleczną czekoladą 37 g,"1,09 zł"
Princessa Zebra Kakaowy wafel przekładany kremem mlecznym 37 g,"0,99 zł"
Ryelands Chocolates Ewusia Kakaowa XXL 50 g,"0,99 zł"
Ryelands Chocolates Ewusia Kokosowa XXL 50 g,"0,99 zł"
Ryelands Chocolates Ewusia Kokosowa XXL 6x50 g,"4,95 zł"
Ryelands Chocolates Ewusia Orzechowa XXL 50 g,"0,99 zł"
Ryelands Chocolates Ewusia Orzechowa XXL 6x50 g,"4,95 zł"
Ryelands Chocolates Ewusia smak Toffi XXL 50 g,"0,99 zł"
Tesco Markizy z kremem kakaowym Ciastka 55 g (4 sztuki),"0,99 zł"
Tesco Markizy z kremem waniliowym Ciastka 55 g (4 sztuki),"0,99 zł"
Tesco Markizy z kremem z orzeszkami arachidowymi Ciastka 55 g (4 sztuki),"0,99 zł"
Tesco Value Wafel z kremem orzechowym w czekoladzie mlecznej 3 x 32 g,"1,59 zł"
Tesco Wafelek oblany białą czekoladą z nadzieniem kokosowym 33 g,"0,79 zł"
Tesco Wafelek oblany czekoladą z nadzieniem o smaku czekoladowym 33 g,"0,79 zł"
Tesco Wafelek oblany mleczną czekoladą z nadzieniem o smaku czekoladowym 33 g,"0,79 zł"
Tesco Wafelek oblany mleczną czekoladą z nadzieniem orzechowym 33 g,"0,79 zł"
Tesco Wafelki jogurtowe z kremem o smaku śmietankowym 65 g,"1,29 zł"
Wadowice Skawa Eliteski King Size kakao Wafelek kakaowy w czekoladzie 50 g,"1,29 zł"
Wadowice Skawa Eliteski King Size orzech Wafelek przekładany kremem orzechowym w czekoladzie 50 g,"1,29 zł"
Wadowice Skawa Elitesse De Luxe Wafelek przekładany kremem kakaowym w czekoladzie 20 g,"0,65 zł"
Wadowice Skawa Elitesse Wafelek przekładany kremem kakaowym w czekoladzie 23 g,"0,75 zł"
BATON MUSLI BANAN NESTLE 40g,"1,79 zł"
Breakfast King Choco Chrup Baton z płatków zbożowych w polewie mlecznej 25 g,"0,69 zł"
Breakfast King Choco Chrup Baton z płatków zbożowych w polewie mlecznej 25 g,"0,69 zł"
Corny Big Nuts Baton zbożowy 50 g,"2,49 zł"
Country Barn Batonik musli kokosowy z polewą o smaku czekoladowym 30 g,"0,59 zł"
Country Barn Batonik musli z kawałkami jagód w polewie jogurtowej 35 g,"0,59 zł"
Country Barn Batonik musli z kawałkami malin 30 g,"0,59 zł"
Country Barn Batonik musli z kawałkami truskawek w polewie jogurtowej 35 g,"0,59 zł"
Country Barn Batonik musli z orzechami i polewą o smaku czekoladowym 30 g,"0,59 zł"
Country Barn Batonik musli z polewą o smaku czekoladowym 30 g,"0,59 zł"
Country Barn Batonik musli ze śliwkami w polewie jogurtowej 35 g,"0,59 zł"
Nestlé Chocapic Batonik zbożowy 25 g,"1,29 zł"
Nestlé Cini Minis Batonik zbożowy 25 g,"1,29 zł"
"Nestlé Fitness o smaku orzechowym Batonik zbożowy 23,5 g","1,39 zł"
"Nestlé Fitness o smaku tiramisu Batonik zbożowy 23,5 g","1,39 zł"
"Nestlé Fitness z czekoladą Batonik zbożowy 23,5 g","1,39 zł"
