Tesco Mieszanka warzywna z wędzonym łososiem grzankami oraz sosem koperkowym 230 g,"8,99 zł"
Tesco Natka pietruszki,"1,49 zł"
Tesco Polska bazylia w doniczce,"3,99 zł"
Tesco Polska kolendra w doniczce,"4,49 zł"
Tesco Polska melisa w doniczce,"3,99 zł"
Tesco Polska mięta w doniczce,"4,49 zł"
Tesco Polska pietruszka natka XL,"2,79 zł"
Tesco Polska pietruszka w doniczce,"3,99 zł"
Tesco Polska szałwia w doniczce,"4,49 zł"
Tesco Polski koperek pęczek XL,"2,79 zł"
Tesco Polski koperek w doniczce,"3,99 zł"
Tesco Polski lubczyk w doniczce,"4,49 zł"
Tesco Polski majeranek w doniczce,"4,49 zł"
Tesco Polski rozmaryn w doniczce,"4,99 zł"
Tesco Polski szczypiorek pęczek,"1,49 zł"
Tesco Polski szczypiorek w doniczce,"3,99 zł"
Tesco Polski tymianek w doniczce,"4,49 zł"
Tesco Polskie oregano w doniczce,"4,49 zł"
Tesco Roszponka 100 g,"2,99 zł"
Tesco Rukola 100 g,"2,99 zł"
Tesco Rukola w doniczce,"4,49 zł"
Tesco Rukola z botwinką 100 g,"4,99 zł"
Tesco Rukola z radicchio 100 g,"4,99 zł"
Tesco Rukola z roszponką 100 g,"4,99 zł"
Tesco Rumba Mix sałat 100 g,"4,99 zł"
Tesco Salsa Mix sałat 50 g,"3,49 zł"
Tesco Sałata batawska 50 g,"3,49 zł"
Tesco Sałatka Bratysławska 220 g,"4,99 zł"
Tesco Sałatka Colesław 300 g,"3,99 zł"
Tesco Sałatka fitness grecka 220 g,"7,99 zł"
Tesco Sałatka fitness włoska 220 g,"7,99 zł"
Tesco Sałatka Florencka 140 g,"3,99 zł"
Tesco Sałatka Galicyjska 270 g,"4,99 zł"
Tesco Sałatka Toskańska 130 g,"3,99 zł"
Tesco Sałatka tuńczyk & jajko z sosem pietruszkowym 250 g,"7,99 zł"
Tesco Sałatka Wenecka 160 g,"3,99 zł"
Tesco Sałatka z mięsem kebab 270 g,"7,99 zł"
Tesco Sałatka z pikantnym kurczakiem grzankami i ostrym sosem 250 g,"8,99 zł"
Tesco Szpinak baby 100 g,"3,49 zł"
Tesco Tango Mix sałat 100 g,"3,99 zł"
Tesco Value Szpinak 250 g,"4,99 zł"
Jabłka polskie Golden Delicious słodkie twarde,"0,75 zł"
